834685,6686,3835,2817,2109,1680,1491,1268,1089,1002,971,803,778,717,625,631,564,527,471,476,477,463,393,414,387,397,335,316,334,320,285,320,298,289,296,262,244,228,233,244,228,228,172,220,237,199,215,193,165,183
824074,6720,3982,2774,2028,1717,1530,1277,1196,993,936,769,707,686,701,565,557,558,525,471,433,422,449,421,375,366,378,346,350,308,310,313,281,261,285,276,282,247,238,237,238,233,205,217,214,172,171,185,187,181
812991,6738,4043,2777,2090,1731,1467,1292,1087,1051,873,833,734,688,651,630,552,540,547,466,417,466,438,388,409,373,355,336,325,342,302,301,242,282,272,264,272,273,269,224,210,254,211,228,215,217,204,206,200,183
802279,6915,3903,2887,2205,1799,1525,1255,1159,993,930,830,761,688,654,640,605,543,576,508,499,405,453,406,363,396,375,331,347,322,313,295,287,282,282,260,286,246,275,278,220,214,243,213,216,225,219,215,200,184
791070,7033,4057,2943,2268,1751,1565,1343,1102,1028,935,822,809,726,641,662,589,543,509,476,449,475,389,418,391,427,355,342,345,310,289,302,286,293,276,269,274,270,260,211,249,239,198,217,217,200,174,176,183,190
780338,6887,4121,2771,2197,1801,1539,1265,1126,1021,964,889,798,723,693,643,592,581,521,531,484,486,436,437,372,356,382,339,339,335,345,302,271,272,307,262,259,270,264,222,217,253,221,229,212,205,225,233,169,201
769612,7135,3992,2934,2261,1774,1556,1320,1137,1031,923,879,811,692,712,668,626,526,539,503,486,472,461,394,353,385,387,336,355,329,298,306,332,298,298,260,268,271,267,259,231,245,249,240,234,226,217,207,212,202
758713,7013,4115,2889,2230,1793,1557,1345,1203,1044,920,898,771,728,684,630,588,544,546,505,497,462,411,382,393,401,357,332,322,332,316,312,326,286,290,259,227,257,245,231,236,229,228,216,196,211,220,199,194,212
747173,6912,4085,2917,2258,1772,1486,1390,1224,1043,972,854,821,772,684,670,635,565,488,498,486,474,435,434,375,361,373,372,332,338,351,287,307,289,313,308,266,292,271,248,255,246,235,209,226,213,205,230,246,206
735867,7027,4077,2915,2248,1873,1601,1345,1154,1076,979,885,779,769,726,665,613,629,588,515,495,530,444,411,423,389,400,362,325,338,335,337,303,337,272,260,293,231,249,242,252,257,243,257,216,202,222,187,212,183
725695,7021,4130,2960,2275,1832,1521,1334,1171,1048,969,866,852,736,705,693,616,593,556,507,520,442,431,447,421,403,377,340,343,351,357,313,290,305,272,273,289,248,263,241,270,271,228,236,231,229,243,213,198,209
713387,6900,4092,2884,2338,1929,1580,1317,1164,1046,966,904,801,747,670,647,626,552,550,523,497,492,429,423,378,372,388,389,323,366,379,326,313,323,290,287,258,283,248,253,280,240,223,217,210,249,236,194,202,230
761207,7035,4107,2852,2244,1794,1546,1286,1179,1072,924,825,813,754,690,646,585,564,559,490,462,434,452,434,426,409,372,368,330,307,334,289,308,272,287,261,313,272,274,239,250,239,234,228,213,226,212,243,192,212
750121,6966,4124,2830,2275,1848,1558,1337,1180,1064,971,895,828,750,691,599,610,606,502,526,489,480,429,421,423,398,389,392,376,328,308,306,319,299,324,264,272,236,287,268,254,246,197,249,222,194,199,209,231,179
739409,7075,4223,2882,2239,1859,1573,1263,1200,1044,938,857,810,774,645,658,643,578,495,506,503,432,432,463,406,388,344,359,311,371,318,358,319,300,259,274,259,260,250,262,244,255,218,213,240,213,222,195,198,191
727548,7188,4086,2977,2231,1917,1510,1272,1152,1071,955,832,806,764,724,650,580,551,547,524,532,460,415,421,430,381,380,379,339,360,370,294,322,332,329,265,272,263,269,259,239,248,226,235,215,214,220,220,194,197
716013,7478,4296,2973,2259,1837,1582,1348,1242,1122,942,853,813,723,683,717,673,599,588,476,457,492,449,449,378,447,368,374,337,344,326,326,298,324,289,256,277,238,234,269,212,247,244,220,206,231,213,212,198,187
702281,8572,4705,3176,2424,1980,1633,1422,1227,1091,1039,902,858,806,722,676,587,579,589,527,506,470,452,443,431,413,399,380,368,340,296,307,305,332,275,293,260,286,254,242,264,238,238,238,246,243,204,210,242,199
684904,11993,5665,3689,2734,2202,1720,1527,1292,1211,1099,873,871,797,736,665,683,619,583,567,506,490,459,485,440,400,357,379,352,380,363,339,337,297,335,284,290,269,283,263,276,252,242,206,236,237,235,219,210,241
655030,20263,8900,5419,3697,2836,2244,1884,1473,1367,1230,1112,943,902,874,796,717,624,634,585,543,543,497,472,477,478,400,450,394,380,369,320,346,317,343,324,295,278,258,290,264,269,248,231,250,224,188,217,226,231
604243,36604,15779,9045,6260,4586,3694,2886,2377,1966,1773,1531,1371,1288,1129,1076,954,903,830,808,685,636,632,593,563,532,504,482,507,409,412,432,388,375,395,342,359,303,307,310,270,298,279,280,268,277,279,235,250,197
512112,62639,28726,16728,11273,8193,6594,5081,4229,3500,2928,2676,2336,2106,1795,1667,1534,1375,1351,1160,1096,1070,933,872,842,745,768,712,659,610,644,575,580,582,492,501,497,482,422,427,384,402,411,364,366,349,311,332,339,330
376178,90571,45395,28279,19729,14767,11644,9241,7643,6480,5546,4854,4301,3798,3343,3115,2902,2525,2280,2063,1901,1854,1819,1581,1494,1397,1338,1299,1198,1126,1007,1006,923,906,912,825,806,771,741,691,677,678,648,636,577,579,548,548,499,499
218195,100931,58074,39316,28820,22349,17850,14845,12404,10949,9339,8067,7355,6525,5782,5302,4833,4438,4119,3920,3614,3308,3061,2890,2608,2548,2360,2236,2129,2077,1949,1843,1819,1628,1657,1571,1451,1403,1330,1322,1284,1159,1152,1111,1125,1069,985,1006,951,900
